Titre,top_fnac_1,top_fnac_2_plus,top_babelio,Catégorie,top_livraddict,prix_19_23,type_de_document,Top bibliothèque,Auteur
(très) cher cinéma français,0.0,0.0,0.0,,0.0,1.0,,0.0,Éric Neuhoff
555,0.0,0.0,0.0,,0.0,1.0,,0.0,Hélène Gestern
adieu birkenau,1.0,0.0,0.0,Bd,1.0,0.0,,0.0,Ginette Kolinka
adieu tanger,0.0,0.0,0.0,,0.0,1.0,,0.0,Salma El Moumni
adios cow boy,0.0,0.0,0.0,,0.0,1.0,,0.0,Olja Savičević Ivančević
anatèm,0.0,0.0,0.0,,0.0,1.0,,0.0,Neal Stephenson
apeirogon,0.0,0.0,0.0,,0.0,1.0,,0.0,Colum McCann
arcadie,0.0,0.0,0.0,,0.0,1.0,,0.0,Emmanuelle Bayamack-Tam
argonne,0.0,0.0,0.0,,0.0,1.0,,0.0,Stéphane Emond 
"astérix, hors collection : l’empire du milieu",1.0,1.0,0.0,,0.0,0.0,,0.0,"Fabrice Tarrin, Olivier Gay"
"astérix, tome 40 : l’iris blanc",1.0,1.0,0.0,,0.0,0.0,,0.0,"Didier Conrad, Fabcaro"
attaque au clair de lune,0.0,0.0,0.0,,0.0,0.0,Bande dessinée jeunesse,1.0,"Oda,  Eiichiro"
attaquer la terre et le soleil,0.0,0.0,0.0,,0.0,1.0,,0.0,Mathieu Belezi
au bout de la nuit,0.0,0.0,0.0,,0.0,1.0,,0.0,Bruno Bouzounie
au cœur d'un été tout en or,0.0,0.0,0.0,,0.0,1.0,,0.0,Anne Serre
au pays des contes défaits,0.0,0.0,0.0,,0.0,0.0,Bande dessinée jeunesse,1.0,Mr Tan
au vent mauvais,0.0,0.0,0.0,,0.0,1.0,,0.0,Kaouther Adimi
"avant blake et mortimer, tome 2 : la flèche ardente",1.0,0.0,0.0,,0.0,0.0,,0.0,"Van Hamme, Cailleaux , Schréder"
avant la longue flamme rouge,0.0,0.0,0.0,,0.0,1.0,,0.0,Guillaume Sire
avant que j'oublie,0.0,0.0,0.0,,0.0,1.0,,0.0,Anne Pauly
avant que le monde ne se ferme,0.0,0.0,0.0,,0.0,1.0,,0.0,Alain Mascaro
babel,0.0,0.0,0.0,Fantasy,1.0,0.0,,0.0,R. F. Kuang
"bellatrix, tome 1",1.0,0.0,0.0,,0.0,0.0,,0.0,Léo
"bergères guerrières, tome 3",0.0,0.0,0.0,,0.0,0.0,Bande dessinée jeunesse,1.0,"Garnier,  Jonathan"
betty,0.0,0.0,0.0,,0.0,1.0,,0.0,Arnaldur Indridason
beyond the story : 10 ans de souvenirs de bts,0.0,0.0,0.0,Histoire vraie,1.0,0.0,,0.0,Myeongseok Kang et  BTS
"beyond the story, 10 ans de souvenirs de bts",1.0,0.0,0.0,,0.0,0.0,,0.0,Bangtang Boys
beyrouth-sur-seine,0.0,0.0,0.0,,0.0,1.0,,0.0,Sabyl Ghoussoub
"blacksad, tome 7 : alors, tout tombe (seconde partie)",1.0,1.0,0.0,,0.0,0.0,,0.0,"Juan Diaz Canalès, Juanjo Guarnido"
blake & mortimer : l’art de la guerre,1.0,0.0,0.0,,0.0,0.0,,0.0,"Floc’h, Jean-Luc Fromental, José-Luis Bocquet"
"bleak,3 histoires d’horreur,volume 2",1.0,0.0,0.0,,0.0,0.0,,0.0,Squeezie
blizzard,0.0,0.0,0.0,,0.0,1.0,,0.0,Marie Vingtras
"blue lock, tome 1",0.0,0.0,0.0,,0.0,0.0,Bande dessinée jeunesse,1.0,"Kaneshiro,  Muneyuki"
bluebird,0.0,0.0,0.0,Sf,1.0,0.0,,0.0,Ciel Pierlot
