Titre,top_fnac_1,top_fnac_2_plus,top_babelio,classement_babelio,Catégorie,top_livraddict,Année,Prix,prix_19_23,type_de_document,Nb_réservations_bibli,Classement_bibliothèque,Top_bibliothèque,Auteur,in_youtube,nb_youtube
(très) cher cinéma français,0.0,0.0,0.0,,,0.0,2019.0,Prix Renaudot essai,1.0,,,,0.0,Éric Neuhoff,0,0
555,0.0,0.0,0.0,,,0.0,2022.0,Grand prix RTL-Lire,1.0,,,,0.0,Hélène Gestern,1,127
adieu birkenau,1.0,0.0,0.0,,Bd,1.0,,,0.0,,,,0.0,Ginette Kolinka,0,0
adieu tanger,0.0,0.0,0.0,,,0.0,2023.0,Prix France Culture-Télérama,1.0,,,,0.0,Salma El Moumni,0,0
adios cow boy,0.0,0.0,0.0,,,0.0,2020.0,Prix du premier roman,1.0,,,,0.0,Olja Savičević Ivančević,0,0
anatèm,0.0,0.0,0.0,,,0.0,2019.0,Jacques Collin,1.0,,,,0.0,Neal Stephenson,0,0
apeirogon,0.0,0.0,0.0,,,0.0,2021.0,Grand prix des lectrices de Elle,1.0,,,,0.0,Colum McCann,0,0
arcadie,0.0,0.0,0.0,,,0.0,2019.0,Prix du Livre Inter,1.0,,,,0.0,Emmanuelle Bayamack-Tam,0,0
argonne,0.0,0.0,0.0,,,0.0,2022.0,Prix Terre de France - Ouest-France,1.0,,,,0.0,Stéphane Emond ,1,1
"astérix, hors collection : l’empire du milieu",1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,"Fabrice Tarrin, Olivier Gay",0,0
"astérix, tome 40 : l’iris blanc",1.0,1.0,0.0,,,0.0,,,0.0,,,,0.0,"Didier Conrad, Fabcaro",0,0
attaque au clair de lune,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,196.0,14.0,1.0,"Oda,  Eiichiro",0,0
attaquer la terre et le soleil,0.0,0.0,0.0,,,0.0,2022.0,Prix littéraire du Monde,1.0,,,,0.0,Mathieu Belezi,0,0
au bout de la nuit,0.0,0.0,0.0,,,0.0,2019.0,Grand prix Roman de l'été de Femme Actuelle,1.0,,,,0.0,Bruno Bouzounie,0,0
au cœur d'un été tout en or,0.0,0.0,0.0,,,0.0,2020.0,Prix Goncourt de la nouvelle,1.0,,,,0.0,Anne Serre,0,0
au pays des contes défaits,0.0,0.0,0.0,,,0.0,,,0.0,Bande dessinée jeunesse,134.0,21.0,1.0,Mr Tan,0,0
au vent mauvais,0.0,0.0,0.0,,,0.0,2022.0,Prix France Culture-Télérama,1.0,,,,0.0,Kaouther Adimi,0,0
"avant blake et mortimer, tome 2 : la flèche ardente",1.0,0.0,0.0,,,0.0,,,0.0,,,,0.0,"Van Hamme, Cailleaux , Schréder",0,0
avant la longue flamme rouge,0.0,0.0,0.0,,,0.0,2020.0,Prix Orange du Livre,1.0,,,,0.0,Guillaume Sire,0,0
