rang,type_de_document,reservations,titre,auteur,classement
5,Livre adulte,755.0,La décision : roman,"Tuil,  Karine",1
12,Livre adulte,522.0,Réinventer l'amour : comment le patriarcat sabote les relations hétérosexuelles,"Chollet,  Mona",2
13,Bande dessinée adulte,521.0,Le jeune acteur,"Sattouf,  Riad",3
14,Bande dessinée adulte,510.0,"Une jeunesse au Moyen-Orient, 1992-1994","Sattouf,  Riad",4
25,Livre adulte,398.0,Dans les brumes de Capelans,"Norek,  Olivier",5
28,Livre adulte,367.0,Ton absence n'est que ténèbres : roman,Jón Kalman Stefánsson,6
33,Livre adulte,345.0,Vivre avec nos morts : petit traité de consolation,"Horvilleur,  Delphine",7
61,Livre adulte,261.0,Faites votre glucose révolution : la formule scientifique efficace pour perdre du poids et retrouver votre énergie,"Inchauspé,  Jessie",8
72,Livre adulte,246.0,Le pays des autres : roman,"Slimani,  Leïla",9
73,Livre adulte,241.0,Chien 51 : roman,"Gaudé,  Laurent",10
75,Livre adulte,239.0,"La France sous nos yeux : économie, paysages, nouveaux modes de vie","Fourquet,  Jérôme",11
87,Livre adulte,225.0,Le gosse : roman,"Olmi,  Véronique",12
102,Livre adulte,200.0,Les grandes oubliées : pourquoi l'histoire a effacé les femmes,"Lecoq,  Titiou",13
109,Bande dessinée jeunesse,196.0,Attaque au clair de lune,"Oda,  Eiichiro",14
136,Livre adulte,170.0,Etés anglais,"Howard,  Elizabeth Jane",15
139,Bande dessinée adulte,168.0,Zaï zaï zaï zaï,Fabcaro,16
145,Bande dessinée adulte,164.0,Les piliers de la civilisation,"Harari,  Yuval Noah",17
159,Livre adulte,158.0,Noa,"Lévy,  Marc",18
162,Bande dessinée ado,156.0,Naruto. 1,"Kishimoto,  Masashi",19
187,Livre adulte,144.0,Les armoires vides,"Ernaux,  Annie",20
202,Bande dessinée jeunesse,134.0,Au pays des contes défaits,Mr Tan,21
217,Livre adulte,132.0,Les masques éphémères,"Leon,  Donna",22
221,Livre adulte,130.0,Tant que le café est encore chaud : roman,"Kawaguchi,  Toshikazu",23
233,Bande dessinée ado,127.0,Des vivants,"Meltz,  Raphaël",24
262,Bande dessinée jeunesse,118.0,My hero academia. 4. Celui qui avait tout,"Horikoshi,  Kohei",25
271,Livre adulte,115.0,Sapiens : une brève histoire de l'humanité,"Harari,  Yuval Noah",26
275,Livre adulte,114.0,Madame Hayat,"Altan,  Ahmet",27
296,Bande dessinée ado,109.0,Naruto. 13,"Kishimoto,  Masashi",28
329,Bande dessinée jeunesse,104.0,Tiens bon !!,"Oda,  Eiichiro",29
333,Livre adulte,103.0,Les méduses n'ont pas d'oreilles : roman,"Rosenfeld,  Adèle",30
352,Bande dessinée ado,101.0,Naruto. 12,"Kishimoto,  Masashi",31
360,Bande dessinée ado,100.0,"Et à la fin, ils meurent : la sale vérité sur les contes de fées","Lubie,  Lou",32
366,Bande dessinée adulte,99.0,Choses sérieuses,"Oseman,  Alice",33
370,Bande dessinée jeunesse,98.0,Demon slayer : Kimetsu no yaiba. 12,"Gotouge,  Koyoharu",34
385,Bande dessinée jeunesse,96.0,L'escalade,Dugomier,35
394,Bande dessinée ado,95.0,My hero academia. 8. Momo Yaoyorozu : l'envol,"Horikoshi,  Kohei",36
399,Bande dessinée ado,95.0,Le poids des héros,"Sala,  David",37
407,Bande dessinée jeunesse,94.0,Coeur du passé,"Sobral,  Patrick",38
414,Bande dessinée adulte,92.0,"Moi, ce que j'aime, c'est les monstres","Ferris,  Emil",39
416,Livre adulte,92.0,Chavirer : roman,"Lafon,  Lola",40
425,Bande dessinée ado,91.0,My hero academia. 5. Shoto Todoroki : les origines,"Horikoshi,  Kohei",41
429,Livre adulte,91.0,Le laboureur et les mangeurs de vent : liberté intérieure et confortable servitude,"Cyrulnik,  Boris",42
430,Livre adulte,91.0,La chambre du fils,"Horst,  Jørn Lier",43
473,Bande dessinée jeunesse,87.0,Game over,"Dequier,  Bruno",44
501,Bande dessinée ado,84.0,The promised neverland. 8,"Shirai,  Kaiu",45
503,Bande dessinée adulte,84.0,The promised Neverland. 14,"Shirai,  Kaiu",46
525,Bande dessinée jeunesse,82.0,Bergères guerrières. 3,"Garnier,  Jonathan",47
539,Livre adulte,81.0,La chronique des Bridgerton. 5 & 6,"Quinn,  Julia",48
559,Bande dessinée jeunesse,80.0,Oohiohioo !,"Didier,  Anne",49
564,Livre ado,79.0,Le roi maléfique,"Black,  Holly",50
572,Livre adulte,79.0,La fin d'une ère,"Howard,  Elizabeth Jane",51
626,Livre jeunesse,74.0,Harry Potter et la chambre des secrets,"Rowling,  Joanne Kathleen",52
630,Bande dessinée jeunesse,74.0,Les dieux sont amour,"Sobral,  Patrick",53
637,Bande dessinée ado,73.0,The promised Neverland. 13,"Shirai,  Kaiu",54
647,Livre adulte,73.0,Vernon Subutex. 1,"Despentes,  Virginie",55
654,Livre adulte,72.0,Les possibles,"Grimaldi,  Virginie",56
672,Livre adulte,71.0,Bonnet d'âne !,"Beaton,  M.C.",57
677,Bande dessinée jeunesse,71.0,One Piece. 55. Des travs en enfer,"Oda,  Eiichiro",58
682,Bande dessinée ado,70.0,C'est comme ça que je disparais,"Malle,  Mirion",59
691,Livre adulte,70.0,Un miracle : roman,"Mas,  Victoria",60
705,Bande dessinée jeunesse,69.0,Sous un ciel d'azur,"Horikoshi,  K?hei",61
715,Bande dessinée jeunesse,69.0,One Piece. 67. Cool fight,"Oda,  Eiichiro",62
718,Livre adulte,69.0,Si seulement...,"Dequier,  Bruno",63
719,Livre adulte,68.0,Kilomètre zéro : le chemin du bonheur,"Ankaoua,  Maud",64
720,Bande dessinée ado,68.0,My hero academia. 15. Lutte contre le destin,"Horikoshi,  K?hei",65
726,Bande dessinée ado,68.0,Solo leveling. 5,Chugong,66
732,Bande dessinée ado,68.0,Naruto. 30,"Kishimoto,  Masashi",67
737,Livre adulte,67.0,Les quatre accords toltèques : la voie de la liberté personnelle,"Ruiz,  Miguel",68
756,Bande dessinée ado,67.0,One Piece. 64,"Oda,  Eiichiro",69
757,Bande dessinée jeunesse,67.0,L'opération Dressrosa S.O.P.,"Oda,  Eiichiro",70
759,Bande dessinée adulte,66.0,The promised neverland. 1,"Shirai,  Kaiu",71
762,Livre adulte,66.0,La vérité sur la lumière,Auður Ava Ólafsdóttir,72
