Titre,Auteur,top_babelio
Les Aiguilles dor,Michael McDowell,1
Triste tigre,Neige Sinno,1
La Petite-Fille,Bernhard Schlink,1
La prochaine fois que tu mordras la poussière,Panayotis Pascot,1
Conte de fées,Stephen King,1
Un il dans la nuit,Bernard Minier,1
Un abri de fortune,fortune d'Agnès Ledig,1
Trois vies par semaine,Michel Bussi,1
"Im not your soulmate, tome 1 : The Perfect Match",Lyla Mars,1
Sur la dalle,Fred Vargas,1
Le Bureau d'éclaircissement des destins,Gaëlle Nohant,1
"Les Sept Surs, tome 8 : Atlas, l'histoire de Pa Salt",Lucinda Riley,1
"Seasons, tome 1 : Un automne pour te pardonner",Morgane Moncomble,1
L'Enragé,Sorj Chalandon,1
Ceci n'est pas un fait divers,Philippe Besson,1
La Femme de ménage,n,1
La Faille,Franck Thilliez,1
"Captive, tome 2",Sarah Rivens,1
Une belle vie,Virginie Grimaldi,1
Le Silence et la Colère,Pierre Lemaitre,1
À tout jamais,Colleen Hoover,1
Veiller sur elle,Jean-Baptiste Andrea,1
Les Femmes du bout du monde,Mélissa Da Costa,1
