rang,type_de_document,reservations,titre,auteur,Classement
5,Livre adulte,755.0,La décision : roman,"Tuil,  Karine",1
12,Livre adulte,522.0,Réinventer l'amour : comment le patriarcat sabote les relations hétérosexuelles,"Chollet,  Mona",2
13,Bande dessinée adulte,521.0,Le jeune acteur,"Sattouf,  Riad",3
14,Bande dessinée adulte,510.0,"Une jeunesse au Moyen-Orient, 1992-1994","Sattouf,  Riad",4
25,Livre adulte,398.0,Dans les brumes de Capelans,"Norek,  Olivier",5
28,Livre adulte,367.0,Ton absence n'est que ténèbres : roman,Jón Kalman Stefánsson,6
33,Livre adulte,345.0,Vivre avec nos morts : petit traité de consolation,"Horvilleur,  Delphine",7
72,Livre adulte,246.0,Le pays des autres : roman,"Slimani,  Leïla",8
73,Livre adulte,241.0,Chien 51 : roman,"Gaudé,  Laurent",9
75,Livre adulte,239.0,"La France sous nos yeux : économie, paysages, nouveaux modes de vie","Fourquet,  Jérôme",10
87,Livre adulte,225.0,Le gosse : roman,"Olmi,  Véronique",11
102,Livre adulte,200.0,Les grandes oubliées : pourquoi l'histoire a effacé les femmes,"Lecoq,  Titiou",12
109,Bande dessinée jeunesse,196.0,Attaque au clair de lune,"Oda,  Eiichiro",13
139,Bande dessinée adulte,168.0,Zaï zaï zaï zaï,Fabcaro,14
145,Bande dessinée adulte,164.0,Les piliers de la civilisation,"Harari,  Yuval Noah",15
159,Livre adulte,158.0,Noa,"Lévy,  Marc",16
162,Bande dessinée ado,156.0,Naruto. 1,"Kishimoto,  Masashi",17
187,Livre adulte,144.0,Les armoires vides,"Ernaux,  Annie",18
202,Bande dessinée jeunesse,134.0,Au pays des contes défaits,Mr Tan,19
217,Livre adulte,132.0,Les masques éphémères,"Leon,  Donna",20
221,Livre adulte,130.0,Tant que le café est encore chaud : roman,"Kawaguchi,  Toshikazu",21
233,Bande dessinée ado,127.0,Des vivants,"Meltz,  Raphaël",22
262,Bande dessinée jeunesse,118.0,My hero academia. 4. Celui qui avait tout,"Horikoshi,  Kohei",23
271,Livre adulte,115.0,Sapiens : une brève histoire de l'humanité,"Harari,  Yuval Noah",24
275,Livre adulte,114.0,Madame Hayat,"Altan,  Ahmet",25
296,Bande dessinée ado,109.0,Naruto. 13,"Kishimoto,  Masashi",26
329,Bande dessinée jeunesse,104.0,Tiens bon !!,"Oda,  Eiichiro",27
352,Bande dessinée ado,101.0,Naruto. 12,"Kishimoto,  Masashi",28
366,Bande dessinée adulte,99.0,Choses sérieuses,"Oseman,  Alice",29
370,Bande dessinée jeunesse,98.0,Demon slayer : Kimetsu no yaiba. 12,"Gotouge,  Koyoharu",30
385,Bande dessinée jeunesse,96.0,L'escalade,Dugomier,31
394,Bande dessinée ado,95.0,My hero academia. 8. Momo Yaoyorozu : l'envol,"Horikoshi,  Kohei",32
399,Bande dessinée ado,95.0,Le poids des héros,"Sala,  David",33
407,Bande dessinée jeunesse,94.0,Coeur du passé,"Sobral,  Patrick",34
414,Bande dessinée adulte,92.0,"Moi, ce que j'aime, c'est les monstres","Ferris,  Emil",35
416,Livre adulte,92.0,Chavirer : roman,"Lafon,  Lola",36
425,Bande dessinée ado,91.0,My hero academia. 5. Shoto Todoroki : les origines,"Horikoshi,  Kohei",37
429,Livre adulte,91.0,Le laboureur et les mangeurs de vent : liberté intérieure et confortable servitude,"Cyrulnik,  Boris",38
430,Livre adulte,91.0,La chambre du fils,"Horst,  Jørn Lier",39
473,Bande dessinée jeunesse,87.0,Game over,"Dequier,  Bruno",40
503,Bande dessinée adulte,84.0,The promised Neverland. 14,"Shirai,  Kaiu",41
525,Bande dessinée jeunesse,82.0,Bergères guerrières. 3,"Garnier,  Jonathan",42
539,Livre adulte,81.0,La chronique des Bridgerton. 5 & 6,"Quinn,  Julia",43
559,Bande dessinée jeunesse,80.0,Oohiohioo !,"Didier,  Anne",44
564,Livre ado,79.0,Le roi maléfique,"Black,  Holly",45
626,Livre jeunesse,74.0,Harry Potter et la chambre des secrets,"Rowling,  Joanne Kathleen",46
654,Livre adulte,72.0,Les possibles,"Grimaldi,  Virginie",47
672,Livre adulte,71.0,Bonnet d'âne !,"Beaton,  M.C.",48
677,Bande dessinée jeunesse,71.0,One Piece. 55. Des travs en enfer,"Oda,  Eiichiro",49
691,Livre adulte,70.0,Un miracle : roman,"Mas,  Victoria",50
705,Bande dessinée jeunesse,69.0,Sous un ciel d'azur,"Horikoshi,  K?hei",51
715,Bande dessinée jeunesse,69.0,One Piece. 67. Cool fight,"Oda,  Eiichiro",52
719,Livre adulte,68.0,Kilomètre zéro : le chemin du bonheur,"Ankaoua,  Maud",53
720,Bande dessinée ado,68.0,My hero academia. 15. Lutte contre le destin,"Horikoshi,  K?hei",54
726,Bande dessinée ado,68.0,Solo leveling. 5,Chugong,55
732,Bande dessinée ado,68.0,Naruto. 30,"Kishimoto,  Masashi",56
737,Livre adulte,67.0,Les quatre accords toltèques : la voie de la liberté personnelle,"Ruiz,  Miguel",57
756,Bande dessinée ado,67.0,One Piece. 64,"Oda,  Eiichiro",58
757,Bande dessinée jeunesse,67.0,L'opération Dressrosa S.O.P.,"Oda,  Eiichiro",59
759,Bande dessinée adulte,66.0,The promised neverland. 1,"Shirai,  Kaiu",60
762,Livre adulte,66.0,La vérité sur la lumière,Auður Ava Ólafsdóttir,61
766,Livre adulte,66.0,Le rocher blanc,"Hope,  Anna",62
769,Bande dessinée ado,66.0,Naruto. 21,"Kishimoto,  Masashi",63
794,Bande dessinée jeunesse,65.0,One Piece. 68. Alliance entre pirates,"Oda,  Eiichiro",64
799,Livre adulte,64.0,Pouilles,,65
801,Bande dessinée jeunesse,64.0,Blue lock. 1,"Kaneshiro,  Muneyuki",66
888,Bande dessinée jeunesse,60.0,Trop la classe !,"Didier,  Anne",67
891,Bande dessinée jeunesse,60.0,L'atelier des sorciers. 3,"Shirahama,  Kamome",68
910,Bande dessinée ado,60.0,Journal inquiet d'Istanbul. 1,"Karabulut,  Ersin",69
945,Livre adulte,58.0,Croire aux fauves,"Martin,  Nastassja",70
949,Bande dessinée ado,58.0,Solo leveling. 3,Chugong,71
983,Bande dessinée jeunesse,56.0,Chaperlipopette !,Mr Tan,72
992,Livre adulte,56.0,Tout comprendre (ou presque) sur le climat,BonPote,73
