Catégorie,Titre,Auteur,top_livraddict
Young adult,"Engélion, tome 1 : Illuminer les Cieux",Justine Tiphagne,1
Young adult,Tant que fleuriront les citronniers ,Zoulfa Katouh,1
Young adult,L'effet Boule de neige,Clara Héraut,1
Young adult,"Écarlate sous la cendre, tome 1",Élisabeth Koshava,1
Young adult,Le sirénien,Capucine Sergent,1
Jeunesse,Wonka,Sibéal Pounder,1
Jeunesse,L'étoile du soir,Siècle Vaëlban,1
Jeunesse,"Les clans du ciel, tome 1 : La quête d'Ellie ",Jessica Khoury,1
Jeunesse,"Crook Haven, tome 1 : L'école des voleurs  ",J. J. Arcanjo,1
Jeunesse,"Sentinelles du Royaume Sauvage, tome 1",Alexandra Ott,1
Contemporain,Le Réseau Jane ,Heather Marshall,1
Contemporain,Dans la forêt des larmes ,Glendy Vanderah,1
Contemporain,Les dragons,Jérôme Colin,1
Contemporain,Une belle vie,Virginie Grimaldi,1
Contemporain,Les Extraordinaires,Julien Sandrel,1
Histoire vraie,La Fin des monstres : Récit d'une trajectoire trans,Tal Madesta,1
Histoire vraie,Pagny par Florent,Florent Pagny et Emmanuelle Cosso-Merad,1
Histoire vraie,Ma vie sans gravité,Thomas Pesquet,1
Histoire vraie,Par-delà la magie : Confessions d'un sorcier ,Tom Felton,1
Histoire vraie,Beyond The Story : 10 ans de souvenirs de BTS ,Myeongseok Kang et  BTS,1
Historique,La sage-femme d'Auschwitz ,Anna Stuart,1
Historique,"Les reines maudites, tome 1 : Catherine d'Aragon ",Alison Weir,1
Historique,La fille à la robe rayée ,Ellie Midwood,1
Historique,Là où sont tes racines ,Ellen Marie Wiseman,1
Historique,À un souffle du passé ,Patti Callahan Henry,1
Romance,My world is yours,Élodie François,1
Romance,"Russian Mafia, tome 1",Emma Bardiau,1
Romance,"Lies, tome 1 : Only Lies",Jeanne Pears,1
Romance,Tous nos battements de coeur,Erika Boyer,1
Romance,Le jeu des tricheurs,Anita Rigins,1
Thriller,Une saison pour les ombres ,R. J. Ellory,1
Thriller,La colère ,S. A. Cosby,1
Thriller,"La Femme de ménage, tome 1 ",Freida McFadden,1
Thriller,Malgré toute ma rage,Jérémy Fel,1
Thriller,Dans mon obscurité,Valentin Musso,1
Policier,Le veilleur du lac,Nicolas Leclerc,1
Policier,Okavango,Caryl Férey,1
Policier,Roches de sang,Olivier Bal,1
Policier,Sur tes traces ,Harlan Coben,1
Policier,Le Dernier Festin des vaincus,Estelle Tharreau,1
Cosy mystery,"La demoiselle et le mousquetaire, tome 1 : Funestes fiançailles",S. D. Fischer,1
Cosy mystery,"Cosy Christmas Mystery, tome 1 : Retour à St Mary Hill",Carine Pitocchi,1
Cosy mystery,"Finlay Donovan est mortelle, tome 1 : Comment j’ai tué ton mari ",Elle Cosimano,1
Cosy mystery,"Le club des amateurs de romans policiers, tome 1 : Ils étaient sept ",Christina Larmer,1
Cosy mystery,"Les enquêtes de Milady, tome 1 : Le baiser de la tulipe noire",Maxime Fontaine et Bertrand Puard,1
Fantasy,Les Cinq,Mathieu Rochelle,1
Fantasy,Un jour de nuit tombée ,Samantha Shannon,1
Fantasy,"Le trône des magiciens, tome 1 : Le défi de la couronne",Jupiter Phaeton,1
Fantasy,"La Confrérie du sang, tome 1 : L'Ombre des dieux ",John Gwynne,1
Fantasy,Babel,R. F. Kuang,1
Romantasy,"Brumes, tome 1 : La brume et les larmes",Laura Collins,1
Romantasy,"La chair et le feu, tome 1 : Une ombre dans la braise ",Jennifer L. Armentrout,1
Romantasy,"La Reine sans couronne, tome 1 : Princesse Déchue",L. C. Blake,1
Romantasy,"Les Couronnes de Nyaxia, tome 1 : Le Serpent et le Descendant de la Nuit ",Carissa Broadbent,1
Romantasy,"Fae de Sel et de Sang, tome 1 : La Dernière Couronne",Eulalie Lombard,1
Fantastique,"Swan Song, tome 1 : Le feu et la glace ",Robert McCammon,1
Fantastique,Le Clan des Belen,Julia Castel,1
Fantastique,"Trois battements, un silence",Anne Fakhouri,1
Fantastique,Du thé pour les fantômes,Chris Vuklisevic,1
Fantastique,Sang d'écume,Magali Lefebvre,1
Sf,"Confluence, tome 1 : Ce qui naît des abysses",Sylvie Poulain,1
Sf,Nos coeurs disparus ,Celeste Ng,1
Sf,La mer de la tranquillité ,Emily St. John Mandel,1
Sf,La Société protectrice des Kaijus ,John Scalzi,1
Sf,Bluebird,Ciel Pierlot,1
Manga,"Lullaby of the Dawn, tome 1 ",Ichika Yuno,1
Manga,"Seule la mort attend la vilaine, tome 1 ",Suol et  Gwon Gyeoeul,1
Manga,La fée des neiges ,Tomo Serizawa,1
Manga,Quand la nuit tombe ,Rie Aruga,1
Manga,"Hirayasumi, tome 1 ",Keigo Shinzo,1
Comics,"Cosmoknights, tome 1 ",Hannah Templer,1
Comics,Wonder Woman Historia : The Amazons ,"Kelly Sue Deconnick, Phil Jimenez, Gene Ha et Nicola Scott",1
Comics,"The Nice House on the Lake, tome 1 ","James Tynion IV, Alvaro Martinez Bueno et Jordie Bellaire",1
Comics,Stray Dogs,Tony Fleecs et Trish Forstner,1
Comics,Écuyère,Nadia Shammas et Sara Alfageeh,1
Bd,Les guerres de Lucas,Renaud Roche et Laurent Hopman,1
Bd,Je suis au-delà de la mort !,L'homme étoilé,1
