rang,type_de_document,reservations,titre,auteur,Classement bibliothèque,Top bibliothèque,Classement_bibliothèque,Top_bibliothèque
5,Livre adulte,755.0,La décision ,"Tuil,  Karine",,,1.0,1.0
12,Livre adulte,522.0,Réinventer l'amour : comment le patriarcat sabote les relations hétérosexuelles,"Chollet,  Mona",,,2.0,1.0
13,Bande dessinée adulte,521.0,Le jeune acteur,"Sattouf,  Riad",,,3.0,1.0
14,Bande dessinée adulte,510.0,"Une jeunesse au Moyen-Orient, 1992-1994","Sattouf,  Riad",,,4.0,1.0
25,Livre adulte,398.0,Dans les brumes de Capelans,"Norek,  Olivier",,,5.0,1.0
28,Livre adulte,367.0,Ton absence n'est que ténèbres ,Jón Kalman Stefánsson,,,6.0,1.0
33,Livre adulte,345.0,Vivre avec nos morts : petit traité de consolation,"Horvilleur,  Delphine",,,7.0,1.0
61,Livre adulte,261.0,Faites votre glucose révolution : la formule scientifique efficace pour perdre du poids et retrouver votre énergie,"Inchauspé,  Jessie",,,8.0,1.0
72,Livre adulte,246.0,Le pays des autres ,"Slimani,  Leïla",,,9.0,1.0
73,Livre adulte,241.0,Chien 51 ,"Gaudé,  Laurent",,,10.0,1.0
75,Livre adulte,239.0,"La France sous nos yeux : économie, paysages, nouveaux modes de vie","Fourquet,  Jérôme",,,11.0,1.0
87,Livre adulte,225.0,Le gosse ,"Olmi,  Véronique",,,12.0,1.0
102,Livre adulte,200.0,Les grandes oubliées : pourquoi l'histoire a effacé les femmes,"Lecoq,  Titiou",,,13.0,1.0
109,Bande dessinée jeunesse,196.0,Attaque au clair de lune,"Oda,  Eiichiro",,,14.0,1.0
136,Livre adulte,170.0,Etés anglais,"Howard,  Elizabeth Jane",,,15.0,1.0
139,Bande dessinée adulte,168.0,Zaï zaï zaï zaï,Fabcaro,,,16.0,1.0
145,Bande dessinée adulte,164.0,Les piliers de la civilisation,"Harari,  Yuval Noah",,,17.0,1.0
159,Livre adulte,158.0,Noa,"Lévy,  Marc",,,18.0,1.0
162,Bande dessinée ado,156.0,"Naruto, tome 1","Kishimoto,  Masashi",,,19.0,1.0
187,Livre adulte,144.0,Les armoires vides,"Ernaux,  Annie",,,20.0,1.0
202,Bande dessinée jeunesse,134.0,Au pays des contes défaits,Mr Tan,,,21.0,1.0
217,Livre adulte,132.0,Les masques éphémères,"Leon,  Donna",,,22.0,1.0
221,Livre adulte,130.0,Tant que le café est encore chaud ,"Kawaguchi,  Toshikazu",,,23.0,1.0
233,Bande dessinée ado,127.0,Des vivants,"Meltz,  Raphaël",,,24.0,1.0
262,Bande dessinée jeunesse,118.0,"My hero academia, tome 4 : Celui qui avait tout","Horikoshi,  Kohei",,,25.0,1.0
271,Livre adulte,115.0,Sapiens : une brève histoire de l'humanité,"Harari,  Yuval Noah",,,26.0,1.0
275,Livre adulte,114.0,Madame Hayat,"Altan,  Ahmet",,,27.0,1.0
296,Bande dessinée ado,109.0,"Naruto, tome 13","Kishimoto,  Masashi",,,28.0,1.0
329,Bande dessinée jeunesse,104.0,Tiens bon !!,"Oda,  Eiichiro",,,29.0,1.0
333,Livre adulte,103.0,Les méduses n'ont pas d'oreilles ,"Rosenfeld,  Adèle",,,30.0,1.0
352,Bande dessinée ado,101.0,"Naruto, tome 12","Kishimoto,  Masashi",,,31.0,1.0
360,Bande dessinée ado,100.0,"Et à la fin, ils meurent : la sale vérité sur les contes de fées","Lubie,  Lou",,,32.0,1.0
366,Bande dessinée adulte,99.0,Choses sérieuses,"Oseman,  Alice",,,33.0,1.0
370,Bande dessinée jeunesse,98.0,"Demon slayer : Kimetsu no yaiba, tome 12","Gotouge,  Koyoharu",,,34.0,1.0
385,Bande dessinée jeunesse,96.0,L'escalade,Dugomier,,,35.0,1.0
394,Bande dessinée ado,95.0,"My hero academia, tome 8 : Momo Yaoyorozu : l'envol","Horikoshi,  Kohei",,,36.0,1.0
399,Bande dessinée ado,95.0,Le poids des héros,"Sala,  David",,,37.0,1.0
407,Bande dessinée jeunesse,94.0,Coeur du passé,"Sobral,  Patrick",,,38.0,1.0
414,Bande dessinée adulte,92.0,"Moi, ce que j'aime, c'est les monstres","Ferris,  Emil",,,39.0,1.0
416,Livre adulte,92.0,Chavirer ,"Lafon,  Lola",,,40.0,1.0
425,Bande dessinée ado,91.0,"My hero academia, tome 5 : Shoto Todoroki : les origines","Horikoshi,  Kohei",,,41.0,1.0
429,Livre adulte,91.0,Le laboureur et les mangeurs de vent : liberté intérieure et confortable servitude,"Cyrulnik,  Boris",,,42.0,1.0
430,Livre adulte,91.0,La chambre du fils,"Horst,  Jørn Lier",,,43.0,1.0
473,Bande dessinée jeunesse,87.0,Game over,"Dequier,  Bruno",,,44.0,1.0
501,Bande dessinée ado,84.0,"The promised neverland, tome 8","Shirai,  Kaiu",,,45.0,1.0
503,Bande dessinée adulte,84.0,"The promised Neverland, tome 14","Shirai,  Kaiu",,,46.0,1.0
525,Bande dessinée jeunesse,82.0,"Bergères guerrières, tome 3","Garnier,  Jonathan",,,47.0,1.0
539,Livre adulte,81.0,"La chronique des Bridgerton, tome 5 & 6","Quinn,  Julia",,,48.0,1.0
559,Bande dessinée jeunesse,80.0,Oohiohioo !,"Didier,  Anne",,,49.0,1.0
564,Livre ado,79.0,Le roi maléfique,"Black,  Holly",,,50.0,1.0
572,Livre adulte,79.0,La fin d'une ère,"Howard,  Elizabeth Jane",,,51.0,1.0
