,Titres,Auteurs,Occurrences dans les sous-titres de vidéos
1,555,Hélène Gestern,127
31,blizzard,Marie Vingtras,1
80,des vivants,"Meltz,  Raphaël",1
117,héritage,Miguel Bonnefoy,17
122,j'ai oublié,Bulle Ogier,22
139,l'escalade,Dugomier,2
146,la chaleur,Victor Jestin,10
150,la colère,S. A. Cosby,8
159,la décision,"Tuil,  Karine",9
160,la dépendance,Rachel Cusk,3
161,la faille,Franck Thilliez,2
171,la grâce,Thibault de Montaigu,13
173,la maison,Emma Becker,77
193,la tentation,Luc Lang,1
195,la vie nouvelle,Tom Crewe,1
198,la vraie vie,Adeline Dieudonné,10
202,le bon sens,Michel Bernard,7
207,le consentement,Vanessa Springora,1
209,le culte,"Camilla Läckberg, Henrik Fexeus",2
215,le droit du sol,Étienne Davodeau,1
219,le gosse,"Olmi,  Véronique",2
227,le lâche,Jarred McGinnis,7
236,le retournement,Manuel Carcassonne,1
262,les cinq,Mathieu Rochelle,8
267,les dragons,Jérôme Colin,3
282,les impatientes,Djaïli Amadou Amal,1
288,les passagers,Gilles Verdet,1
293,les possibles,"Grimaldi,  Virginie",1
348,nature humaine,Serge Joncour,4
351,noa,"Lévy,  Marc",4
366,otages,Nina Bouraoui,4
370,panorama,Lilia Hassaine,1
371,papa,Hélène Delforge et Quentin Gréban,61
372,par les routes,Sylvain Prudhomme,1
377,performance,Simon Liberati,18
399,révolution,Florent Grouazel,30
400,s'adapter,Clara Dupont-Monod,9
401,sa préférée,Sarah Jollien-Fardel,1
402,sabre,Emmanuel Ruben,4
423,tenir sa langue,Polina Panassenko,1
443,tueurs,Jean-Michel Espitallier,1
452,un miracle,"Mas,  Victoria",2
472,vivonne,Jérôme Leroy,1
482,à la ligne,Joseph Ponthus,1
485,à tout jamais,Colleen Hoover,1
