Année,Prix,Auteur,Titre,prix_19_23
2019,Prix Femina,Sylvain Prudhomme,Par les routes,1
2019,Prix Femina étranger,Manuel Vilas,Ordesa,1
2019,Prix Femina essai,Emmanuelle Lambert,Giono furioso,1
2019,Prix Femina des lycéens,Victor Jestin,La Chaleur,1
2019,Prix Goncourt,Jean-Paul Dubois,Tous les hommes n'habitent pas le monde de la même façon,1
2019,Prix Goncourt du premier roman,Marie Gauthier,Court vêtue,1
2019,Prix Goncourt des lycéens,Karine Tuil,Les Choses humaines,1
2019,Prix Goncourt de la nouvelle,Caroline Lamarche,Nous sommes à la lisière,1
2019,Prix Goncourt de la biographie,Emily Dickinson,"Manifeste incertain, volume 7 : Emily Dickinson, Marina Tsvetaieva, l'immense poésie",1
2019,Choix Goncourt de la Pologne,Louis-philippe Dalembert,Mur Méditerranée,1
2019,Prix Médicis,Luc Lang,La Tentation,1
2019,Prix Médicis étranger,Audur Ava Olafsdóttir,Miss Islande,1
2019,Prix Médicis essai,Bulle Ogier,J'ai oublié,1
2019,Prix Renaudot,Sylvain Tesson,La Panthère des neiges,1
2019,Prix Renaudot essai,Éric Neuhoff,(Très) cher cinéma français,1
2019,Prix Renaudot du livre de poche,Jonathan Littell,Une vieille histoire. Nouvelle version,1
2019,Prix Renaudot des lycéens,Copi,Le Bal des folles,1
2019,Grand prix du roman de l'Académie française,Laurent Binet,Civilizations,1
2019,Prix Alexandre-Vialatte,Pierre Jourde,Le Voyage du canapé-lit,1
2019,Prix Anaïs-Nin,Lionel Duroy,Eugenia,1
2019,"Prix André-Malraux, catégorie roman engagé",Ahmet Altan,Je ne reverrai plus le monde,1
2019,"Prix André-Malraux, catégorie essai sur l'art",Stéphane Lambert,"Visions de Goya, L’éclat dans le désastre",1
2019,Prix Décembre,Claudie Hunzinger,Les Grands Cerfs,1
2019,Prix des Deux Magots,Emmanuel de Waresquiel,Le Temps de s'en apercevoir,1
2019,Prix de Flore,Sofia Aouine,Rhapsodie des oubliés,1
2019,Prix Fénéon,Isabelle Mayault,Une longue nuit mexicaine,1
2019,Prix France Culture-Télérama,Emma Becker,La Maison,1
2019,Prix du Livre Inter,Emmanuelle Bayamack-Tam,Arcadie,1
2019,Grand prix Jean-Giono,Jean-Luc Coatalem,La Part du fils,1
2019,Prix Jean-Freustié,Frank Maubert,L'Eau qui passe,1
2019,Prix Joseph-Kessel,Cécile Hennion,Le Fil de nos vies brisées,1
2019,Prix du Quai des Orfèvres,Paul Merault,Le Cercle des impunis,1
2019,Prix des libraires,Franck Bouysse,Né d'aucune femme,1
2019,Prix du roman Fnac,Bérengère Cournut,De pierre et d'os,1
2019,Prix du roman populiste,Joseph Ponthus,À la ligne,1
2019,Prix France Télévisions,Ali Zamir,Dérangé que je suis,1
2019,Prix France Télévisions,Valérie Zenatti,Dans le faisceau des vivants,1
2019,Prix littéraire du Monde,Cécile Coulon,Une bête au paradis,1
2019,Grand prix des lectrices de Elle,Adeline Dieudonné,La Vraie Vie,1
2019,Grand prix Roman de l'été de Femme Actuelle,Bruno Bouzounie,Au bout de la nuit,1
2019,Grand prix de l'Imaginaire,Patrick K. Dewdney,Underground Airlines,1
2019,Jacques Collin,Neal Stephenson,Anatèm,1
2019,Nicolas Fructus,Kij Johnson,La Quête onirique de Vellitt Boe,1
2019,Prix du premier roman,Géraldine Dalban-Moreynas,On ne meurt pas d'amour,1
2019,Prix du premier roman,Sana Krasikov,Les Patriotes,1
2019,Prix de l'Académie française Maurice-Genevoix,Jean-Marie Planes,Une vie de soleil,1
2019,Prix François-Mauriac,Bruno Pellegrino,"Là-bas, août est un mois d'automne",1
2019,Prix François-Mauriac de la région Aquitaine,Claude Martin,La diplomatie n'est pas un dîner de gala - Mémoires d'un ambassadeur,1
2019,Prix Rosny aîné « Roman »,Estelle Faye,Les Nuages de Magellan,1
2019,Prix Rosny aîné « Nouvelle »,Stéphane Croenne,"Ne signe pas ça, Chloé !",1
2019,Prix Russophonie,Grisha Bruskine,L’Imparfait du temps passé,1
2019,Prix Wepler,Lucie Taïeb,Les Échappées,1
2019,Fauve d'or : prix du meilleur album,Emil Ferris,"Moi, ce que j'aime, c'est les monstres",1
2019,Prix littéraire des Grandes Écoles,Aymen Gharbi,Magma Tunis,1
2019,Prix Maya,"Fanny Vaucher, Sébastien Moro",Les Paupières des poissons,1
2019,Prix Heredia,Denis Rigal,La Joie peut-être,1
2019,Prix Stanislas du premier roman,Victoria Mas,Le bal des folles,1
2019,Prix Orange du Livre,Jean-Baptiste Maudet,Matador yankee,1
2020,Prix Femina,Serge Joncour,Nature humaine,1
2020,Prix Femina étranger,Deborah Levy,Le Coût de la vie,1
2020,Prix Femina essai,Christophe Granger,Joseph Kabris ou les Possibilités d'une vie,1
2020,Prix Femina des lycéens,Laurent Petitmangin,Ce qu'il faut de nuit,1
2020,Prix Goncourt,Hervé Le Tellier,L'Anomalie,1
2020,Prix Goncourt du premier roman,Maylis Besserie,Le Tiers Temps,1
2020,Prix Goncourt des lycéens,Djaïli Amadou Amal,Les Impatientes,1
2020,Prix Goncourt de la nouvelle,Anne Serre,Au cœur d'un été tout en or,1
2020,Prix Goncourt de la biographie,Thierry Thomas,"Hugo Pratt, trait pour trait",1
2020,Prix Médicis,Chloé Delaume,Le Cœur synthétique,1
2020,Prix Médicis étranger,Antonio Munoz Molina,Un promeneur solitaire dans la foule,1
2020,Prix Médicis essai,Karl Ove Knausgård,Fin de combat,1
2020,Prix Renaudot,Marie-Hélène Lafon,Histoire du fils,1
2020,Prix Renaudot essai,Dominique Fortier,Les Villes de papier,1
2020,Prix Renaudot du livre de poche,Éric Roussel,Charles de Gaulle,1
2020,Prix Renaudot des lycéens,Jean-René Van der Plaetsen,Le Métier de mourir,1
2020,Grand prix du roman de l'Académie française,Etienne de Montety,La Grande Épreuve,1
2020,Prix Interallié,Irène Frain,Un crime sans importance,1
2020,Prix Jean-Freustié,Anne-Sophie Stefanini,Cette inconnue,1
2020,Prix du Livre Inter,Anne Pauly,Avant que j'oublie,1
2020,Prix du premier roman,Ketty Rouf,On ne touche pas,1
2020,Prix du premier roman,Olja Savičević Ivančević,Adios Cow Boy,1
2020,Prix de l'Académie française Maurice-Genevoix,Arthur Lochmann,La Vie solide. La Charpente comme éthique du faire,1
2020,Prix François-Mauriac,Alexandre Postel,Un automne de Flaubert,1
2020,Prix Anaïs-Nin,Nina Bouraoui,Otages,1
2020,Prix Alexandre-Vialatte,Michel Bernard,Le Bon Sens,1
2020,Prix Décembre,Gregory Le Floch,De parcourir le monde et d'y rôder,1
2020,Prix des Deux Magots,Jérôme Garcin,Le Dernier Hiver du Cid,1
2020,Prix de Flore,Thibault de Montaigu,La Grâce,1
2020,Prix de la Closerie des Lilas,Sandrine Collette,Et toujours les forêts,1
2020,Prix France Culture-Télérama,Lola Lafon,Chavirer,1
2020,Prix du Quai des Orfèvres,Alexandre Galien,Les Cicatrices de la nuit,1
2020,Prix des libraires,Akira Mizubayashi,Âme brisée,1
2020,Prix du roman Fnac,Arnaldur Indridason,Betty,1
2020,Prix Eugène-Dabit du roman populiste,Samira Sedira,Des gens comme eux,1
2020,Prix littéraire du Monde,Francesca Serra,Elle a menti pour les ailes,1
2020,Grand prix des lectrices de Elle,Claire Berest,Rien n'est noir,1
2020,Grand prix des lectrices (Elle),Tess Sharpe,Mon territoire,1
2020,Le Consentement,Vanessa Springora,Le Consentement,1
2020,Grand prix Roman de l'été de Femme Actuelle,Benoît Sagaro,La Conjonction dorée,1
2020,Grand prix de l'Imaginaire,Alain Damasio,Les Furtifs,1
2020,Marina Diatchenko,Sergueï Diatchenko,Vita Nostra,1
2020,Helstrid,Christian Léourier,Helstrid,1
2020,Les Meurtres de Molly Southbourne,Tade Thompson,Les Meurtres de Molly Southbourne,1
2020,Grand prix du roman métis,Gaëlle Bélem,"Un monstre est là, derrière la porte",1
2020,Prix Rosny aîné « Nouvelle »,Audrey Pleynet,Quelques gouttes de thé,1
2020,Prix Russophonie,Vladimir Sorokine,Manaraga,1
2020,Fauve d'or : prix du meilleur album,Florent Grouazel,Révolution,1
2020,Prix littéraire ENS Paris-Saclay,Dalie Farah,Impasse Verlaine,1
2020,Prix Maya,Rosa B.,Insolente Veggie,1
2020,Isy Ochoa,Coline Pierré,Fritz,1
2020,Prix Heredia,Charlélie Couture,La Mécanique du ciel,1
2020,Prix Orange du Livre,Guillaume Sire,Avant la longue flamme rouge,1
2020,Prix Terre de France,Michel Bernard,Le bon sens,1
2020,Prix Terre de France - Ouest-France,Serge Joncour,Nature Humaine,1
2020,Prix Amerigo-Vespucci de la BD géographique,Nicolas de Crécy,Visa Transit,1
2021,Prix Femina,Clara Dupont-Monod,S'adapter,1
2021,Prix Femina étranger,Ahmet Altan,Madame Hayat,1
2021,Prix Femina essai,Annie Cohen-Solal,Un étranger nommé Picasso,1
2021,Prix Femina des lycéens,Ananda Devi,Le rire des déesses,1
2021,Prix Goncourt,Mohamed Mbougar sarr,La Plus Secrète Mémoire des hommes,1
2021,Prix Goncourt du premier roman,Emilienne Malfatto,Que sur toi se lamente le Tigre,1
2021,Prix Goncourt de la nouvelle,Shmuel T. Meyer,Et la guerre est finie...,1
2021,Prix Goncourt de la biographie,Pauline Dreyfus,Paul Morand,1
2021,Prix Médicis,Christine Angot,Le Voyage dans l'Est,1
2021,Prix Médicis étranger,Jonas Hassen Khemiri,La Clause paternelle,1
2021,Prix Médicis essai,Jakuta Alikavazovic,Comme un ciel en nous,1
2021,Prix Renaudot,Amélie Nothomb,Premier Sang,1
2021,Grand prix du roman de l'Académie française,François-Henri Désérable,Mon maître et mon vainqueur,1
