,Mois,Titre,Auteur,Doublons
0,Janvier 2021,À pas de loup,Isabelle Villain,False
1,Janvier 2021,Armorican Psycho,Gwenael Le Guellec,False
2,Janvier 2021,Bed bug,Katherine Pancol,False
3,Janvier 2021,Ça va changer avec vous !  Il est temps d'être écolos et fiers de l'être,Julien Vidal,False
4,Janvier 2021,Celle qui pleurait sous l'eau,Niko Tackian,False
5,Janvier 2021,Des hommes justes : Du patriarcat aux nouvelles masculinités,Ivan Jablonka,False
6,Janvier 2021,Divergente racontée par Quatre,Veronica Roth,False
7,Janvier 2021,Éden,Monica Sabolo,False
8,Janvier 2021,Et toujours les forêts,Sandrine Collette,False
9,Janvier 2021,Je ne suis pas seul à être seul,Jean-Louis Fournier,False
10,Janvier 2021,La consolation de l'ange,Frédéric Lenoir,False
11,Janvier 2021,La vie à portée de main,Katherine Center,False
12,Janvier 2021,L'embarras du choix,Laure Manel,False
13,Janvier 2021,L'homme qui pleure de rire,Frédéric Beigbeder,False
14,Janvier 2021,La deuxième femme,Louise Mey,False
15,Janvier 2021,La femme révélée,Gaëlle Nohant,False
16,Janvier 2021,La rumeur,Lesley Kara,False
17,Janvier 2021,Lake Success,Gary Shteyngart,False
18,Janvier 2021,Le Consentement,Vanessa Springora,False
19,Janvier 2021,Le monde selon Amazon,Benoît Berthelot,False
20,Janvier 2021,Le Sang des Mirabelles,Camille de Peretti,False
21,Janvier 2021,Le tatoueur d'Auschwitz,Heather Morris,False
22,Janvier 2021,Le théorème du parapluie,Mickaël Launay,False
23,Janvier 2021,Les choses humaines,Karine Tuil,False
24,Janvier 2021,Les Magnolias,Florent Oiseau,False
25,Janvier 2021,Les lendemains,Mélissa Da Costa,False
26,Janvier 2021,Les listes d'Elisabeth,Lulah Ellender,False
27,Janvier 2021,Les optimistes,Rebecca Makkai,False
28,Janvier 2021,Love me tender,Constance Debré,False
29,Janvier 2021,Lune noire,Anthony Neil Smith,False
30,Janvier 2021,Opus 77,Alexis Ragougneau,False
31,Janvier 2021,Orange amère,Ann Patchett,False
32,Janvier 2021,Oscar et la dame rose,Éric-Emmanuel Schmitt,False
33,Janvier 2021,Outresable,Hugh Howey,False
34,Janvier 2021,Oyana,Éric Plamondon,False
35,Janvier 2021,Préférer l'hiver,Aurélie Jeannin,False
36,Janvier 2021,Rendez-vous au café du bonheur,Lucy Diamond,False
37,Janvier 2021,Rêve de Fèvre,George R.R. Martin,False
38,Janvier 2021,Rivage de la colère,Caroline Laurent,False
39,Janvier 2021,Soif,Amélie Nothomb,False
40,Février 2021,À cache-cache,M. J. Arlidge,False
41,Février 2021,Ada ou la beauté des nombres,Catherine Dufour,False
42,Février 2021,"Amours solitaires, tome 2 : Une petite éternité",Morgane Ortin,False
43,Février 2021,Au soleil redouté,Michel Bussi,False
44,Février 2021,Denali,Patrice Gain,False
45,Février 2021,Hors sol,Pierre Alféri,False
47,Février 2021,La déchirure,Henry Bauchau,False
48,Février 2021,L'archipel des lärmes,Camilla Grebe,False
49,Février 2021,Le choix de revivre,Clare Mackintosh,False
50,Février 2021,Le coeur battant du monde,Sébastien Spitzer,False
51,Février 2021,Les Furtifs,Alain Damasio,False
52,Février 2021,Le Ghetto intérieur,Santiago H. Amigorena,False
53,Février 2021,Le parfum des citronniers,Cristina Campos,False
54,Février 2021,Le petit chat est mort,Xavier de Moulins,False
55,Février 2021,Le rouge n'est plus une couleur,Rosie Price,False
56,Février 2021,Les abattus,Noëlle Renaude,False
57,Février 2021,Les nouvelles aventures du fakir au pays d'Ikea,Romain Puértolas,False
58,Février 2021,L'île au secret,Ragnar Jónasson,False
59,Février 2021,Même les arbres s'en souviennent,Christian Signol,False
60,Février 2021,Monsieur le commandant,Romain Slocombe,False
61,Février 2021,Nous autres,Evgueni Zamiatine,False
62,Février 2021,Plutôt la fin du monde quune écorchure à mon doigt,Paula Jacques,False
63,Février 2021,Prémices de la chute,Frédéric Paulin,False
64,Février 2021,Tétraméron,José Carlos Somoza,False
65,Février 2021,Tous tes enfants dispersés,Beata Umubyeyi Mairesse,False
66,Février 2021,Tuer le fils,Benoît Séverac,False
67,Février 2021,Une bête au paradis,Cécile Coulon,False
68,Février 2021,Une histoire de France,Joffrine Donnadieu,False
69,Février 2021,Un(e)secte,Maxime Chattam,False
70,Mars 2021,American elsewhere,Robert Jackson Bennett,False
71,Mars 2021,Braises de guerre,Gareth L. Powell,False
72,Mars 2021,Ce que tu as fait de moi,Karine Giebel,False
73,Mars 2021,Envole-moi,Annelise Heurtier,False
74,Mars 2021,Francis Rissin,Martin Mongin,False
75,Mars 2021,"Je suis Providence, tome 1",Sunand Tryambak Joshi,False
76,Mars 2021,Je suis une Viking,Andrew David MacDonald,False
77,Mars 2021,Jeux dangereux,Danielle Steel,False
78,Mars 2021,Jouir,Sarah Barmak,False
79,Mars 2021,La Dictatrice,Diane Ducret,False
80,Mars 2021,L'Affaire Clara Miller,Olivier Bal,False
81,Mars 2021,La fracture,Nina Allan,False
82,Mars 2021,La grande escapade,Jean-Philippe Blondel,False
83,Mars 2021,La vie est un roman,Guillaume Musso,False
84,Mars 2021,Le coeur de l'Angleterre,Jonathan Coe,False
85,Mars 2021,Le messie du Darfour,Abdelaziz Baraka Sakin,False
86,Mars 2021,Les Cicatrices,Claire Favan,False
87,Mars 2021,Les demoiselles,Anne-Gaëlle Huon,False
88,Mars 2021,Les étincelles,Julien Sandrel,False
89,Mars 2021,Les Mangeurs d'argile,Peter Farris,False
90,Mars 2021,Mamma Maria,Serena Giuliano,False
91,Mars 2021,Mage de bataille,Peter A. Flannery,False
92,Mars 2021,Mictlán,Sébastien Rutés,False
93,Mars 2021,Miroir de nos peines,Pierre Lemaitre,False
94,Mars 2021,Orphelines,Franck Bouysse,False
95,Mars 2021,Par les routes,Sylvain Prudhomme,False
96,Mars 2021,Regarde,Hervé Commère,False
